 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Aluminum (gas).txt

 Ion = Bromine [35] , Mass = 76.92138 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Al     13    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.442E+01  1.884E+02     104 A        38 A        29 A
  11.00 keV   1.513E+01  1.929E+02     110 A        40 A        30 A
  12.00 keV   1.580E+01  1.969E+02     117 A        42 A        32 A
  13.00 keV   1.644E+01  2.006E+02     123 A        44 A        33 A
  14.00 keV   1.706E+01  2.040E+02     129 A        46 A        35 A
  15.00 keV   1.766E+01  2.070E+02     135 A        47 A        36 A
  16.00 keV   1.824E+01  2.098E+02     141 A        49 A        38 A
  17.00 keV   1.880E+01  2.124E+02     147 A        51 A        39 A
  18.00 keV   1.935E+01  2.147E+02     153 A        53 A        41 A
  20.00 keV   2.040E+01  2.190E+02     164 A        56 A        43 A
  22.50 keV   2.163E+01  2.234E+02     178 A        60 A        46 A
  25.00 keV   2.280E+01  2.272E+02     192 A        64 A        50 A
  27.50 keV   2.392E+01  2.304E+02     206 A        68 A        53 A
  30.00 keV   2.498E+01  2.331E+02     219 A        71 A        56 A
  32.50 keV   2.600E+01  2.354E+02     232 A        75 A        59 A
  35.00 keV   2.698E+01  2.374E+02     246 A        79 A        61 A
  37.50 keV   2.793E+01  2.391E+02     259 A        82 A        64 A
  40.00 keV   2.884E+01  2.405E+02     272 A        86 A        67 A
  45.00 keV   3.059E+01  2.428E+02     297 A        93 A        73 A
  50.00 keV   3.225E+01  2.445E+02     323 A       100 A        78 A
