 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Carbon.txt

 Ion = Bromine [35] , Mass = 76.92138 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.038E+01  1.148E+02     101 A        24 A        19 A
  11.00 keV   1.088E+01  1.173E+02     108 A        25 A        20 A
  12.00 keV   1.137E+01  1.196E+02     114 A        27 A        21 A
  13.00 keV   1.183E+01  1.216E+02     120 A        28 A        22 A
  14.00 keV   1.228E+01  1.234E+02     126 A        29 A        23 A
  15.00 keV   1.271E+01  1.251E+02     132 A        30 A        24 A
  16.00 keV   1.312E+01  1.266E+02     137 A        31 A        25 A
  17.00 keV   1.353E+01  1.280E+02     143 A        32 A        26 A
  18.00 keV   1.392E+01  1.292E+02     149 A        33 A        27 A
  20.00 keV   1.467E+01  1.315E+02     160 A        35 A        29 A
  22.50 keV   1.556E+01  1.338E+02     174 A        38 A        31 A
  25.00 keV   1.641E+01  1.357E+02     187 A        40 A        33 A
  27.50 keV   1.721E+01  1.372E+02     200 A        43 A        35 A
  30.00 keV   1.797E+01  1.385E+02     213 A        45 A        37 A
  32.50 keV   1.870E+01  1.396E+02     226 A        47 A        39 A
  35.00 keV   1.941E+01  1.405E+02     239 A        49 A        41 A
  37.50 keV   2.009E+01  1.413E+02     252 A        52 A        43 A
  40.00 keV   2.075E+01  1.419E+02     264 A        54 A        45 A
  45.00 keV   2.201E+01  1.427E+02     289 A        58 A        49 A
  50.00 keV   2.320E+01  1.433E+02     314 A        62 A        53 A
