 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Helium (gas).txt

 Ion = Bromine [35] , Mass = 76.92138 amu

 Target Density =  5.6504E-06 g/cm3 = 8.5003E+17 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     He      2    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.512E+00  4.816E+01    3.50 mm   481.23 um   394.07 um
  11.00 keV   2.634E+00  4.912E+01    3.73 mm   505.93 um   417.16 um
  12.00 keV   2.751E+00  4.998E+01    3.94 mm   529.86 um   439.66 um
  13.00 keV   2.864E+00  5.074E+01    4.16 mm   553.12 um   461.65 um
  14.00 keV   2.972E+00  5.142E+01    4.37 mm   575.80 um   483.19 um
  15.00 keV   3.076E+00  5.203E+01    4.57 mm   597.97 um   504.33 um
  16.00 keV   3.177E+00  5.259E+01    4.78 mm   619.70 um   525.11 um
  17.00 keV   3.275E+00  5.308E+01    4.98 mm   641.02 um   545.57 um
  18.00 keV   3.370E+00  5.354E+01    5.18 mm   661.99 um   565.73 um
  20.00 keV   3.552E+00  5.432E+01    5.58 mm   704.00 um   605.29 um
  22.50 keV   3.768E+00  5.512E+01    6.06 mm   755.40 um   653.49 um
  25.00 keV   3.971E+00  5.576E+01    6.54 mm   805.17 um   700.53 um
  27.50 keV   4.165E+00  5.626E+01    7.02 mm   853.61 um   746.59 um
  30.00 keV   4.350E+00  5.667E+01    7.49 mm   900.93 um   791.82 um
  32.50 keV   4.528E+00  5.699E+01    7.95 mm   947.31 um   836.33 um
  35.00 keV   4.699E+00  5.724E+01    8.42 mm   992.87 um   880.22 um
