 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Hydrogen (gas).txt

 Ion = Bromine [35] , Mass = 76.92138 amu

 Target Density =  8.2650E-07 g/cm3 = 4.9377E+17 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.323E+00  2.274E+01   13.81 mm     1.03 mm   785.19 um
  11.00 keV   2.437E+00  2.334E+01   14.59 mm     1.08 mm   827.91 um
  12.00 keV   2.545E+00  2.388E+01   15.36 mm     1.13 mm   869.31 um
  13.00 keV   2.649E+00  2.437E+01   16.11 mm     1.17 mm   909.57 um
  14.00 keV   2.749E+00  2.481E+01   16.85 mm     1.21 mm   948.82 um
  15.00 keV   2.845E+00  2.522E+01   17.57 mm     1.26 mm   987.15 um
  16.00 keV   2.939E+00  2.560E+01   18.28 mm     1.30 mm     1.02 mm
  17.00 keV   3.029E+00  2.595E+01   18.97 mm     1.34 mm     1.06 mm
  18.00 keV   3.117E+00  2.628E+01   19.66 mm     1.37 mm     1.10 mm
  20.00 keV   3.286E+00  2.686E+01   21.01 mm     1.45 mm     1.17 mm
  22.50 keV   3.485E+00  2.749E+01   22.65 mm     1.55 mm     1.25 mm
  25.00 keV   3.673E+00  2.803E+01   24.25 mm     1.64 mm     1.34 mm
  27.50 keV   3.853E+00  2.849E+01   25.82 mm     1.73 mm     1.42 mm
  30.00 keV   4.024E+00  2.889E+01   27.35 mm     1.82 mm     1.49 mm
  32.50 keV   4.188E+00  2.924E+01   28.87 mm     1.90 mm     1.57 mm
  35.00 keV   4.346E+00  2.955E+01   30.36 mm     1.98 mm     1.64 mm
