 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Bromine [35] , Mass = 76.92138 amu

 Target Density =  1.9072E-04 g/cm3 = 2.7664E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.881E+00  4.904E+01  101.49 um    20.42 um    16.31 um
  11.00 keV   5.119E+00  5.019E+01  107.63 um    21.42 um    17.20 um
  12.00 keV   5.347E+00  5.122E+01  113.62 um    22.39 um    18.06 um
  13.00 keV   5.565E+00  5.215E+01  119.50 um    23.33 um    18.90 um
  14.00 keV   5.775E+00  5.299E+01  125.27 um    24.24 um    19.72 um
  15.00 keV   5.978E+00  5.376E+01  130.95 um    25.13 um    20.52 um
  16.00 keV   6.174E+00  5.446E+01  136.55 um    26.00 um    21.30 um
  17.00 keV   6.364E+00  5.510E+01  142.07 um    26.86 um    22.07 um
  18.00 keV   6.548E+00  5.569E+01  147.52 um    27.69 um    22.83 um
  20.00 keV   6.903E+00  5.675E+01  158.25 um    29.34 um    24.30 um
  22.50 keV   7.321E+00  5.786E+01  171.37 um    31.34 um    26.08 um
  25.00 keV   7.717E+00  5.878E+01  184.23 um    33.26 um    27.81 um
  27.50 keV   8.094E+00  5.956E+01  196.86 um    35.13 um    29.49 um
  30.00 keV   8.454E+00  6.022E+01  209.31 um    36.96 um    31.13 um
  32.50 keV   8.799E+00  6.078E+01  221.60 um    38.73 um    32.73 um
  35.00 keV   9.131E+00  6.125E+01  233.75 um    40.48 um    34.30 um
