 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Mylar.txt

 Ion = Bromine [35] , Mass = 76.92138 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    036.36    004.20
      C      6    045.45    062.50
      O      8    018.18    033.30
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.874E+00  8.593E+01     162 A        39 A        31 A
  11.00 keV   6.161E+00  8.788E+01     172 A        41 A        33 A
  12.00 keV   6.435E+00  8.963E+01     182 A        43 A        35 A
  13.00 keV   6.697E+00  9.119E+01     192 A        45 A        36 A
  14.00 keV   6.950E+00  9.261E+01     201 A        47 A        38 A
  15.00 keV   7.194E+00  9.390E+01     210 A        49 A        39 A
  16.00 keV   7.430E+00  9.507E+01     220 A        51 A        41 A
  17.00 keV   7.659E+00  9.614E+01     229 A        52 A        42 A
  18.00 keV   7.881E+00  9.713E+01     238 A        54 A        44 A
  20.00 keV   8.307E+00  9.887E+01     256 A        57 A        47 A
  22.50 keV   8.811E+00  1.007E+02     277 A        62 A        50 A
  25.00 keV   9.288E+00  1.022E+02     299 A        65 A        54 A
  27.50 keV   9.741E+00  1.035E+02     320 A        69 A        57 A
  30.00 keV   1.017E+01  1.045E+02     341 A        73 A        61 A
  32.50 keV   1.059E+01  1.054E+02     361 A        77 A        64 A
  35.00 keV   1.099E+01  1.062E+02     381 A        80 A        67 A
  37.50 keV   1.138E+01  1.068E+02     402 A        84 A        70 A
  40.00 keV   1.175E+01  1.073E+02     422 A        88 A        73 A
  45.00 keV   1.246E+01  1.081E+02     462 A        95 A        79 A
  50.00 keV   1.314E+01  1.086E+02     501 A       101 A        85 A
