 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Bromine in Silicon (gas).txt

 Ion = Bromine [35] , Mass = 76.92138 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Si     14    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.379E+01  1.965E+02     121 A        45 A        34 A
  11.00 keV   1.446E+01  2.014E+02     128 A        48 A        36 A
  12.00 keV   1.510E+01  2.057E+02     136 A        50 A        38 A
  13.00 keV   1.572E+01  2.096E+02     143 A        52 A        40 A
  14.00 keV   1.631E+01  2.132E+02     150 A        54 A        42 A
  15.00 keV   1.688E+01  2.165E+02     157 A        56 A        43 A
  16.00 keV   1.744E+01  2.195E+02     164 A        59 A        45 A
  17.00 keV   1.797E+01  2.223E+02     170 A        61 A        47 A
  18.00 keV   1.849E+01  2.248E+02     177 A        63 A        48 A
  20.00 keV   1.949E+01  2.294E+02     190 A        67 A        51 A
  22.50 keV   2.068E+01  2.342E+02     207 A        71 A        55 A
  25.00 keV   2.180E+01  2.383E+02     223 A        76 A        59 A
  27.50 keV   2.286E+01  2.418E+02     238 A        81 A        62 A
  30.00 keV   2.388E+01  2.448E+02     254 A        85 A        66 A
  32.50 keV   2.485E+01  2.473E+02     269 A        89 A        69 A
  35.00 keV   2.579E+01  2.496E+02     284 A        94 A        73 A
  37.50 keV   2.669E+01  2.515E+02     299 A        98 A        76 A
  40.00 keV   2.757E+01  2.531E+02     314 A       102 A        79 A
  45.00 keV   2.924E+01  2.558E+02     344 A       111 A        86 A
  50.00 keV   3.082E+01  2.577E+02     373 A       119 A        92 A
