 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in Aluminum.txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Al     13    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.155E+01  1.916E+02     101 A        36 A        28 A
  11.00 keV   2.260E+01  1.963E+02     107 A        38 A        29 A
  12.00 keV   2.360E+01  2.005E+02     113 A        40 A        31 A
  13.00 keV   2.457E+01  2.044E+02     119 A        42 A        32 A
  14.00 keV   2.549E+01  2.078E+02     125 A        43 A        33 A
  15.00 keV   2.639E+01  2.110E+02     130 A        45 A        35 A
  16.00 keV   2.725E+01  2.139E+02     136 A        47 A        36 A
  17.00 keV   2.809E+01  2.166E+02     142 A        48 A        37 A
  18.00 keV   2.891E+01  2.191E+02     147 A        50 A        39 A
  20.00 keV   3.047E+01  2.235E+02     158 A        53 A        41 A
  22.50 keV   3.232E+01  2.282E+02     171 A        57 A        44 A
  25.00 keV   3.407E+01  2.321E+02     185 A        60 A        47 A
  27.50 keV   3.573E+01  2.355E+02     197 A        64 A        50 A
  30.00 keV   3.732E+01  2.384E+02     210 A        67 A        53 A
  32.50 keV   3.884E+01  2.408E+02     223 A        71 A        55 A
  35.00 keV   4.031E+01  2.430E+02     235 A        74 A        58 A
  37.50 keV   4.172E+01  2.448E+02     247 A        77 A        61 A
  40.00 keV   4.309E+01  2.464E+02     259 A        80 A        63 A
  45.00 keV   4.571E+01  2.489E+02     283 A        87 A        68 A
  50.00 keV   4.818E+01  2.508E+02     307 A        93 A        73 A
