 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in Carbon.txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.624E+01  1.166E+02      97 A        23 A        18 A
  11.00 keV   1.704E+01  1.192E+02     103 A        24 A        19 A
  12.00 keV   1.779E+01  1.216E+02     109 A        25 A        20 A
  13.00 keV   1.852E+01  1.237E+02     115 A        26 A        21 A
  14.00 keV   1.922E+01  1.256E+02     120 A        27 A        22 A
  15.00 keV   1.989E+01  1.273E+02     126 A        28 A        23 A
  16.00 keV   2.055E+01  1.289E+02     131 A        29 A        24 A
  17.00 keV   2.118E+01  1.304E+02     137 A        30 A        25 A
  18.00 keV   2.179E+01  1.317E+02     142 A        31 A        25 A
  20.00 keV   2.297E+01  1.340E+02     152 A        33 A        27 A
  22.50 keV   2.436E+01  1.364E+02     165 A        35 A        29 A
  25.00 keV   2.568E+01  1.385E+02     178 A        37 A        31 A
  27.50 keV   2.694E+01  1.401E+02     190 A        39 A        33 A
  30.00 keV   2.813E+01  1.415E+02     202 A        42 A        35 A
  32.50 keV   2.928E+01  1.427E+02     214 A        44 A        37 A
  35.00 keV   3.039E+01  1.437E+02     226 A        46 A        38 A
  37.50 keV   3.145E+01  1.445E+02     237 A        47 A        40 A
  40.00 keV   3.248E+01  1.452E+02     249 A        49 A        42 A
  45.00 keV   3.446E+01  1.462E+02     272 A        53 A        45 A
  50.00 keV   3.632E+01  1.469E+02     294 A        57 A        48 A
