 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Helium (gas).txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  5.6504E-06 g/cm3 = 8.5003E+17 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     He      2    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.078E+00  4.888E+01    3.40 mm   460.99 um   376.27 um
  11.00 keV   4.277E+00  4.988E+01    3.61 mm   484.29 um   398.03 um
  12.00 keV   4.467E+00  5.077E+01    3.82 mm   506.81 um   419.22 um
  13.00 keV   4.649E+00  5.157E+01    4.02 mm   528.67 um   439.89 um
  14.00 keV   4.825E+00  5.228E+01    4.22 mm   549.95 um   460.12 um
  15.00 keV   4.994E+00  5.292E+01    4.42 mm   570.73 um   479.95 um
  16.00 keV   5.158E+00  5.350E+01    4.61 mm   591.06 um   499.41 um
  17.00 keV   5.317E+00  5.403E+01    4.81 mm   610.99 um   518.56 um
  18.00 keV   5.471E+00  5.451E+01    5.00 mm   630.55 um   537.41 um
  20.00 keV   5.767E+00  5.534E+01    5.37 mm   669.71 um   574.32 um
  22.50 keV   6.117E+00  5.619E+01    5.83 mm   717.50 um   619.20 um
  25.00 keV   6.447E+00  5.687E+01    6.29 mm   763.64 um   662.89 um
  27.50 keV   6.762E+00  5.743E+01    6.74 mm   808.42 um   705.57 um
  30.00 keV   7.063E+00  5.787E+01    7.18 mm   852.06 um   747.38 um
  32.50 keV   7.351E+00  5.823E+01    7.61 mm   894.73 um   788.44 um
  35.00 keV   7.629E+00  5.851E+01    8.05 mm   936.55 um   828.84 um
  37.50 keV   7.896E+00  5.873E+01    8.48 mm   977.62 um   868.66 um
