 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Hy (gas).txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  8.2650E-07 g/cm3 = 4.9377E+17 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.772E+00  2.300E+01   13.09 mm   957.48 um   723.03 um
  11.00 keV   3.956E+00  2.361E+01   13.83 mm     1.00 mm   761.89 um
  12.00 keV   4.132E+00  2.417E+01   14.55 mm     1.04 mm   799.49 um
  13.00 keV   4.301E+00  2.467E+01   15.25 mm     1.08 mm   836.00 um
  14.00 keV   4.463E+00  2.513E+01   15.93 mm     1.12 mm   871.53 um
  15.00 keV   4.620E+00  2.556E+01   16.61 mm     1.16 mm   906.19 um
  16.00 keV   4.771E+00  2.595E+01   17.27 mm     1.20 mm   940.06 um
  17.00 keV   4.918E+00  2.631E+01   17.91 mm     1.23 mm   973.22 um
  18.00 keV   5.060E+00  2.665E+01   18.55 mm     1.27 mm     1.01 mm
  20.00 keV   5.334E+00  2.726E+01   19.80 mm     1.34 mm     1.07 mm
  22.50 keV   5.658E+00  2.791E+01   21.32 mm     1.43 mm     1.15 mm
  25.00 keV   5.964E+00  2.847E+01   22.79 mm     1.51 mm     1.22 mm
  27.50 keV   6.255E+00  2.896E+01   24.23 mm     1.59 mm     1.29 mm
  30.00 keV   6.533E+00  2.938E+01   25.65 mm     1.66 mm     1.36 mm
  32.50 keV   6.800E+00  2.975E+01   27.03 mm     1.74 mm     1.43 mm
  35.00 keV   7.056E+00  3.007E+01   28.39 mm     1.81 mm     1.49 mm
