 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  1.9072E-04 g/cm3 = 2.7665E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.924E+00  4.975E+01   96.63 um    19.00 um    15.16 um
  11.00 keV   8.311E+00  5.093E+01  102.38 um    19.91 um    15.98 um
  12.00 keV   8.680E+00  5.200E+01  107.99 um    20.80 um    16.77 um
  13.00 keV   9.035E+00  5.296E+01  113.49 um    21.65 um    17.53 um
  14.00 keV   9.376E+00  5.384E+01  118.87 um    22.48 um    18.28 um
  15.00 keV   9.705E+00  5.463E+01  124.17 um    23.28 um    19.01 um
  16.00 keV   1.002E+01  5.536E+01  129.38 um    24.07 um    19.72 um
  17.00 keV   1.033E+01  5.603E+01  134.51 um    24.84 um    20.41 um
  18.00 keV   1.063E+01  5.665E+01  139.57 um    25.59 um    21.10 um
  20.00 keV   1.121E+01  5.775E+01  149.52 um    27.07 um    22.43 um
  22.50 keV   1.189E+01  5.892E+01  161.65 um    28.86 um    24.04 um
  25.00 keV   1.253E+01  5.990E+01  173.51 um    30.58 um    25.59 um
  27.50 keV   1.314E+01  6.072E+01  185.13 um    32.24 um    27.10 um
  30.00 keV   1.372E+01  6.142E+01  196.56 um    33.85 um    28.56 um
  32.50 keV   1.429E+01  6.202E+01  207.81 um    35.42 um    29.99 um
  35.00 keV   1.482E+01  6.253E+01  218.92 um    36.95 um    31.39 um
