 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in  H- C- O.txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    036.36    004.20
      C      6    045.45    062.50
      O      8    018.18    033.30
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.536E+00  8.727E+01     156 A        37 A        30 A
  11.00 keV   1.000E+01  8.929E+01     166 A        39 A        31 A
  12.00 keV   1.045E+01  9.110E+01     175 A        41 A        33 A
  13.00 keV   1.087E+01  9.273E+01     184 A        43 A        34 A
  14.00 keV   1.128E+01  9.420E+01     193 A        44 A        36 A
  15.00 keV   1.168E+01  9.554E+01     202 A        46 A        37 A
  16.00 keV   1.206E+01  9.677E+01     211 A        48 A        39 A
  17.00 keV   1.243E+01  9.789E+01     219 A        49 A        40 A
  18.00 keV   1.279E+01  9.892E+01     228 A        51 A        41 A
  20.00 keV   1.349E+01  1.008E+02     245 A        54 A        44 A
  22.50 keV   1.430E+01  1.027E+02     265 A        58 A        47 A
  25.00 keV   1.508E+01  1.043E+02     285 A        61 A        51 A
  27.50 keV   1.581E+01  1.056E+02     305 A        65 A        54 A
  30.00 keV   1.652E+01  1.067E+02     324 A        68 A        57 A
  32.50 keV   1.719E+01  1.077E+02     344 A        72 A        60 A
  35.00 keV   1.784E+01  1.085E+02     363 A        75 A        63 A
  37.50 keV   1.847E+01  1.092E+02     381 A        78 A        65 A
  40.00 keV   1.907E+01  1.098E+02     400 A        81 A        68 A
  45.00 keV   2.023E+01  1.106E+02     437 A        88 A        74 A
  50.00 keV   2.132E+01  1.113E+02     473 A        94 A        79 A
