 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 20, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in Silicon.txt

 Ion = Krypton [36] , Mass = 77.92036 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Si     14    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.059E+01  2.000E+02     117 A        43 A        33 A
  11.00 keV   2.160E+01  2.050E+02     124 A        45 A        35 A
  12.00 keV   2.256E+01  2.094E+02     131 A        48 A        36 A
  13.00 keV   2.348E+01  2.135E+02     138 A        50 A        38 A
  14.00 keV   2.437E+01  2.172E+02     145 A        52 A        40 A
  15.00 keV   2.522E+01  2.206E+02     152 A        54 A        41 A
  16.00 keV   2.605E+01  2.238E+02     158 A        56 A        43 A
  17.00 keV   2.685E+01  2.266E+02     165 A        58 A        44 A
  18.00 keV   2.763E+01  2.293E+02     171 A        60 A        46 A
  20.00 keV   2.912E+01  2.341E+02     184 A        63 A        49 A
  22.50 keV   3.089E+01  2.392E+02     199 A        68 A        52 A
  25.00 keV   3.256E+01  2.435E+02     214 A        72 A        56 A
  27.50 keV   3.415E+01  2.472E+02     229 A        76 A        59 A
  30.00 keV   3.567E+01  2.503E+02     244 A        80 A        63 A
  32.50 keV   3.713E+01  2.530E+02     258 A        84 A        66 A
  35.00 keV   3.853E+01  2.554E+02     273 A        88 A        69 A
  37.50 keV   3.988E+01  2.575E+02     287 A        92 A        72 A
  40.00 keV   4.119E+01  2.592E+02     301 A        96 A        75 A
  45.00 keV   4.369E+01  2.621E+02     329 A       104 A        81 A
  50.00 keV   4.605E+01  2.643E+02     356 A       111 A        87 A
