 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Aluminum (gas).txt

 Ion = Krypton [36] , Mass = 85.911 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Al     13    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.977E-01  4.299E+00     103 A        35 A        27 A
  11.00 keV   5.220E-01  4.407E+00     109 A        37 A        29 A
  12.00 keV   5.452E-01  4.504E+00     115 A        39 A        30 A
  13.00 keV   5.675E-01  4.593E+00     121 A        41 A        31 A
  14.00 keV   5.889E-01  4.674E+00     127 A        42 A        33 A
  15.00 keV   6.096E-01  4.748E+00     133 A        44 A        34 A
  16.00 keV   6.295E-01  4.816E+00     139 A        45 A        35 A
  17.00 keV   6.489E-01  4.878E+00     144 A        47 A        36 A
  18.00 keV   6.677E-01  4.936E+00     150 A        48 A        38 A
  20.00 keV   7.038E-01  5.040E+00     161 A        51 A        40 A
  22.50 keV   7.465E-01  5.151E+00     174 A        55 A        43 A
  25.00 keV   7.869E-01  5.245E+00     187 A        58 A        46 A
  27.50 keV   8.253E-01  5.326E+00     200 A        62 A        49 A
  30.00 keV   8.620E-01  5.395E+00     212 A        65 A        51 A
  32.50 keV   8.972E-01  5.455E+00     225 A        68 A        54 A
  35.00 keV   9.311E-01  5.507E+00     237 A        71 A        56 A
  37.50 keV   9.638E-01  5.553E+00     249 A        75 A        59 A
  40.00 keV   9.954E-01  5.592E+00     261 A        78 A        61 A
  45.00 keV   1.056E+00  5.657E+00     285 A        84 A        66 A
  50.00 keV   1.113E+00  5.706E+00     309 A        89 A        71 A
