 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 31, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Carbon.txt

 Ion = Krypton [36] , Mass = 85.911 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.756E-01  5.800E+00     101 A        23 A        18 A
  11.00 keV   8.134E-01  5.935E+00     107 A        24 A        19 A
  12.00 keV   8.496E-01  6.057E+00     113 A        25 A        20 A
  13.00 keV   8.843E-01  6.166E+00     118 A        26 A        21 A
  14.00 keV   9.177E-01  6.266E+00     124 A        27 A        22 A
  15.00 keV   9.499E-01  6.356E+00     130 A        28 A        23 A
  16.00 keV   9.810E-01  6.439E+00     135 A        29 A        23 A
  17.00 keV   1.011E+00  6.515E+00     141 A        30 A        24 A
  18.00 keV   1.041E+00  6.584E+00     146 A        31 A        25 A
  20.00 keV   1.097E+00  6.708E+00     157 A        33 A        27 A
  22.50 keV   1.163E+00  6.839E+00     169 A        35 A        29 A
  25.00 keV   1.226E+00  6.948E+00     182 A        37 A        31 A
  27.50 keV   1.286E+00  7.039E+00     195 A        39 A        32 A
  30.00 keV   1.343E+00  7.117E+00     207 A        41 A        34 A
  32.50 keV   1.398E+00  7.182E+00     219 A        43 A        36 A
  35.00 keV   1.451E+00  7.238E+00     231 A        45 A        38 A
  37.50 keV   1.502E+00  7.285E+00     242 A        47 A        40 A
  40.00 keV   1.551E+00  7.325E+00     254 A        49 A        41 A
  45.00 keV   1.645E+00  7.387E+00     277 A        52 A        44 A
  50.00 keV   1.734E+00  7.430E+00     300 A        56 A        48 A
