 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Helium (gas).txt

 Ion = Krypton [36] , Mass = 85.911 amu

 Target Density =  1.3000E-04 g/cm3 = 1.9557E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     He      2    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.842E-01  7.235E+00  152.94 um    20.01 um    16.22 um
  11.00 keV   6.127E-01  7.391E+00  162.34 um    21.01 um    17.15 um
  12.00 keV   6.400E-01  7.529E+00  171.54 um    21.97 um    18.05 um
  13.00 keV   6.661E-01  7.654E+00  180.57 um    22.90 um    18.93 um
  14.00 keV   6.913E-01  7.765E+00  189.45 um    23.81 um    19.79 um
  15.00 keV   7.155E-01  7.867E+00  198.19 um    24.69 um    20.64 um
  16.00 keV   7.390E-01  7.958E+00  206.82 um    25.56 um    21.47 um
  17.00 keV   7.617E-01  8.042E+00  215.34 um    26.40 um    22.28 um
  18.00 keV   7.838E-01  8.118E+00  223.76 um    27.23 um    23.08 um
  20.00 keV   8.262E-01  8.252E+00  240.36 um    28.90 um    24.65 um
  22.50 keV   8.763E-01  8.391E+00  260.70 um    30.93 um    26.56 um
  25.00 keV   9.238E-01  8.505E+00  280.67 um    32.88 um    28.41 um
  27.50 keV   9.688E-01  8.597E+00  300.34 um    34.78 um    30.22 um
  30.00 keV   1.012E+00  8.674E+00  319.76 um    36.63 um    31.99 um
  32.50 keV   1.053E+00  8.737E+00  338.96 um    38.43 um    33.73 um
  35.00 keV   1.093E+00  8.788E+00  357.98 um    40.19 um    35.44 um
  37.50 keV   1.131E+00  8.830E+00  376.85 um    41.93 um    37.12 um
