 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\krypton in Helium (gas).txt

 Ion = Krypton [36] , Mass = 85.91 amu

 Target Density =  1.3560E-04 g/cm3 = 2.0399E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     He      2    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.842E-01  7.235E+00  146.63 um    19.18 um    15.55 um
  11.00 keV   6.128E-01  7.391E+00  155.64 um    20.14 um    16.44 um
  12.00 keV   6.400E-01  7.529E+00  164.46 um    21.06 um    17.31 um
  13.00 keV   6.661E-01  7.654E+00  173.11 um    21.95 um    18.15 um
  14.00 keV   6.913E-01  7.765E+00  181.62 um    22.82 um    18.98 um
  15.00 keV   7.155E-01  7.867E+00  190.01 um    23.67 um    19.79 um
  16.00 keV   7.390E-01  7.958E+00  198.28 um    24.50 um    20.58 um
  17.00 keV   7.617E-01  8.042E+00  206.45 um    25.31 um    21.36 um
  18.00 keV   7.838E-01  8.118E+00  214.52 um    26.11 um    22.13 um
  20.00 keV   8.262E-01  8.252E+00  230.43 um    27.70 um    23.63 um
  22.50 keV   8.764E-01  8.391E+00  249.93 um    29.65 um    25.46 um
  25.00 keV   9.238E-01  8.505E+00  269.08 um    31.53 um    27.24 um
  27.50 keV   9.688E-01  8.597E+00  287.93 um    33.34 um    28.97 um
  30.00 keV   1.012E+00  8.674E+00  306.55 um    35.11 um    30.67 um
  32.50 keV   1.053E+00  8.737E+00  324.96 um    36.84 um    32.34 um
  35.00 keV   1.093E+00  8.788E+00  343.20 um    38.53 um    33.98 um
  37.50 keV   1.131E+00  8.830E+00  361.28 um    40.20 um    35.59 um
