 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Krypton [36] , Mass = 85.911 amu

 Target Density =  1.2700E-04 g/cm3 = 1.8422E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.095E+00  7.115E+00  150.43 um    28.55 um    22.70 um
  11.00 keV   1.148E+00  7.291E+00  159.27 um    29.90 um    23.91 um
  12.00 keV   1.199E+00  7.449E+00  167.89 um    31.20 um    25.09 um
  13.00 keV   1.248E+00  7.593E+00  176.32 um    32.47 um    26.22 um
  14.00 keV   1.295E+00  7.724E+00  184.59 um    33.69 um    27.33 um
  15.00 keV   1.341E+00  7.843E+00  192.71 um    34.88 um    28.41 um
  16.00 keV   1.385E+00  7.953E+00  200.69 um    36.04 um    29.47 um
  17.00 keV   1.427E+00  8.054E+00  208.56 um    37.18 um    30.50 um
  18.00 keV   1.469E+00  8.147E+00  216.31 um    38.29 um    31.52 um
  20.00 keV   1.548E+00  8.315E+00  231.53 um    40.47 um    33.49 um
  22.50 keV   1.642E+00  8.493E+00  250.08 um    43.10 um    35.87 um
  25.00 keV   1.731E+00  8.643E+00  268.19 um    45.62 um    38.17 um
  27.50 keV   1.815E+00  8.771E+00  285.93 um    48.07 um    40.40 um
  30.00 keV   1.896E+00  8.881E+00  303.36 um    50.43 um    42.57 um
  32.50 keV   1.973E+00  8.976E+00  320.51 um    52.74 um    44.68 um
  35.00 keV   2.048E+00  9.058E+00  337.43 um    54.99 um    46.74 um
