 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 11, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Kr in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Krypton [36] , Mass = 85.9106 amu

 Target Density =  1.5890E-04 g/cm3 = 2.3049E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.095E+00  7.115E+00  120.23 um    22.81 um    18.15 um
  11.00 keV   1.148E+00  7.291E+00  127.29 um    23.90 um    19.11 um
  12.00 keV   1.199E+00  7.449E+00  134.19 um    24.94 um    20.05 um
  13.00 keV   1.248E+00  7.593E+00  140.93 um    25.95 um    20.96 um
  14.00 keV   1.295E+00  7.724E+00  147.53 um    26.93 um    21.84 um
  15.00 keV   1.341E+00  7.843E+00  154.02 um    27.88 um    22.71 um
  16.00 keV   1.385E+00  7.953E+00  160.40 um    28.81 um    23.55 um
  17.00 keV   1.427E+00  8.054E+00  166.69 um    29.71 um    24.38 um
  18.00 keV   1.469E+00  8.147E+00  172.88 um    30.60 um    25.19 um
  20.00 keV   1.548E+00  8.315E+00  185.05 um    32.34 um    26.77 um
  22.50 keV   1.642E+00  8.493E+00  199.87 um    34.45 um    28.67 um
  25.00 keV   1.731E+00  8.643E+00  214.35 um    36.47 um    30.51 um
  27.50 keV   1.815E+00  8.771E+00  228.53 um    38.42 um    32.29 um
  30.00 keV   1.896E+00  8.881E+00  242.46 um    40.31 um    34.02 um
  32.50 keV   1.973E+00  8.976E+00  256.17 um    42.15 um    35.71 um
  35.00 keV   2.048E+00  9.058E+00  269.69 um    43.95 um    37.36 um
