 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Mylar.txt

 Ion = Krypton [36] , Mass = 85.911 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    036.36    004.20
      C      6    045.45    062.50
      O      8    018.18    033.30
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.261E-01  5.964E+00     162 A        37 A        29 A
  11.00 keV   6.567E-01  6.107E+00     171 A        39 A        31 A
  12.00 keV   6.859E-01  6.236E+00     181 A        41 A        33 A
  13.00 keV   7.139E-01  6.352E+00     190 A        42 A        34 A
  14.00 keV   7.409E-01  6.457E+00     199 A        44 A        35 A
  15.00 keV   7.669E-01  6.553E+00     208 A        46 A        37 A
  16.00 keV   7.920E-01  6.641E+00     217 A        47 A        38 A
  17.00 keV   8.164E-01  6.722E+00     226 A        49 A        40 A
  18.00 keV   8.401E-01  6.797E+00     235 A        50 A        41 A
  20.00 keV   8.855E-01  6.930E+00     251 A        53 A        44 A
  22.50 keV   9.392E-01  7.071E+00     272 A        57 A        47 A
  25.00 keV   9.900E-01  7.189E+00     293 A        61 A        50 A
  27.50 keV   1.038E+00  7.289E+00     312 A        64 A        53 A
  30.00 keV   1.085E+00  7.374E+00     332 A        67 A        56 A
  32.50 keV   1.129E+00  7.447E+00     352 A        71 A        59 A
  35.00 keV   1.171E+00  7.509E+00     371 A        74 A        62 A
  37.50 keV   1.213E+00  7.562E+00     390 A        77 A        65 A
  40.00 keV   1.252E+00  7.608E+00     408 A        80 A        67 A
  45.00 keV   1.328E+00  7.680E+00     446 A        86 A        73 A
  50.00 keV   1.400E+00  7.732E+00     482 A        92 A        78 A
