 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Silicon (gas).txt

 Ion = Krypton [36] , Mass = 85.911 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Si     14    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.570E-01  4.311E+00     120 A        42 A        32 A
  11.00 keV   4.793E-01  4.422E+00     127 A        45 A        34 A
  12.00 keV   5.006E-01  4.522E+00     134 A        47 A        36 A
  13.00 keV   5.211E-01  4.613E+00     141 A        49 A        37 A
  14.00 keV   5.407E-01  4.696E+00     148 A        51 A        39 A
  15.00 keV   5.597E-01  4.772E+00     155 A        52 A        40 A
  16.00 keV   5.781E-01  4.842E+00     161 A        54 A        42 A
  17.00 keV   5.959E-01  4.907E+00     168 A        56 A        43 A
  18.00 keV   6.131E-01  4.967E+00     174 A        58 A        45 A
  20.00 keV   6.463E-01  5.074E+00     187 A        62 A        48 A
  22.50 keV   6.855E-01  5.190E+00     202 A        66 A        51 A
  25.00 keV   7.226E-01  5.288E+00     217 A        70 A        55 A
  27.50 keV   7.579E-01  5.372E+00     232 A        74 A        58 A
  30.00 keV   7.916E-01  5.445E+00     247 A        78 A        61 A
  32.50 keV   8.239E-01  5.509E+00     261 A        82 A        64 A
  35.00 keV   8.550E-01  5.564E+00     275 A        85 A        67 A
  37.50 keV   8.850E-01  5.612E+00     289 A        89 A        70 A
  40.00 keV   9.140E-01  5.655E+00     303 A        93 A        73 A
  45.00 keV   9.694E-01  5.725E+00     331 A       100 A        79 A
  50.00 keV   1.022E+00  5.779E+00     358 A       107 A        84 A
