 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Aluminum.txt

 Ion = Strontium [38] , Mass = 87.9056 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Al     13    100.00    100.00
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.689E-01  4.435E+00     105 A        37 A        28 A
  11.00 keV   2.820E-01  4.551E+00     111 A        38 A        29 A
  12.00 keV   2.946E-01  4.655E+00     117 A        40 A        31 A
  13.00 keV   3.066E-01  4.749E+00     123 A        42 A        32 A
  14.00 keV   3.182E-01  4.836E+00     129 A        44 A        34 A
  15.00 keV   3.293E-01  4.915E+00     135 A        45 A        35 A
  16.00 keV   3.401E-01  4.988E+00     141 A        47 A        36 A
  17.00 keV   3.506E-01  5.056E+00     147 A        49 A        38 A
  18.00 keV   3.608E-01  5.118E+00     152 A        50 A        39 A
  20.00 keV   3.803E-01  5.231E+00     163 A        53 A        41 A
  22.50 keV   4.034E-01  5.352E+00     177 A        57 A        44 A
  25.00 keV   4.252E-01  5.455E+00     190 A        61 A        47 A
  27.50 keV   4.459E-01  5.544E+00     203 A        64 A        50 A
  30.00 keV   4.658E-01  5.621E+00     216 A        68 A        53 A
  32.50 keV   4.848E-01  5.688E+00     229 A        71 A        56 A
  35.00 keV   5.031E-01  5.746E+00     241 A        74 A        58 A
  37.50 keV   5.207E-01  5.798E+00     254 A        78 A        61 A
  40.00 keV   5.378E-01  5.843E+00     266 A        81 A        64 A
  45.00 keV   5.704E-01  5.918E+00     291 A        87 A        69 A
  50.00 keV   6.013E-01  5.976E+00     315 A        93 A        74 A
