 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Carbon (gas).txt

 Ion = Strontium [38] , Mass = 87.9056 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.695E-01  5.969E+00     102 A        23 A        18 A
  11.00 keV   5.973E-01  6.113E+00     108 A        24 A        19 A
  12.00 keV   6.239E-01  6.243E+00     114 A        25 A        20 A
  13.00 keV   6.494E-01  6.361E+00     119 A        26 A        21 A
  14.00 keV   6.739E-01  6.467E+00     125 A        27 A        22 A
  15.00 keV   6.975E-01  6.565E+00     131 A        28 A        23 A
  16.00 keV   7.204E-01  6.654E+00     136 A        29 A        24 A
  17.00 keV   7.426E-01  6.736E+00     142 A        30 A        25 A
  18.00 keV   7.641E-01  6.812E+00     147 A        31 A        26 A
  20.00 keV   8.054E-01  6.947E+00     158 A        33 A        27 A
  22.50 keV   8.543E-01  7.091E+00     171 A        35 A        29 A
  25.00 keV   9.005E-01  7.211E+00     183 A        38 A        31 A
  27.50 keV   9.445E-01  7.313E+00     196 A        40 A        33 A
  30.00 keV   9.865E-01  7.401E+00     208 A        42 A        35 A
  32.50 keV   1.027E+00  7.475E+00     220 A        44 A        37 A
  35.00 keV   1.065E+00  7.539E+00     232 A        46 A        38 A
  37.50 keV   1.103E+00  7.594E+00     244 A        48 A        40 A
  40.00 keV   1.139E+00  7.642E+00     256 A        50 A        42 A
  45.00 keV   1.208E+00  7.717E+00     279 A        53 A        45 A
  50.00 keV   1.273E+00  7.772E+00     302 A        57 A        49 A
