 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 29, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Str in 1-3 Butadiene (ICRU-334) (gas).txt

 Ion = Strontium [38] , Mass = 87.90561 amu

 Target Density =  1.5892E-04 g/cm3 = 1.7692E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    060.00    011.18   
      C      6    040.00    088.82   
 ====================================
 Bragg Correction = 1.20%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.462E-01  6.829E+00  130.13 um    26.65 um    21.08 um  
  11.00 keV   6.777E-01  7.001E+00  137.81 um    27.93 um    22.21 um  
  12.00 keV   7.079E-01  7.155E+00  145.31 um    29.16 um    23.30 um  
  13.00 keV   7.368E-01  7.296E+00  152.65 um    30.36 um    24.37 um  
  14.00 keV   7.646E-01  7.424E+00  159.85 um    31.52 um    25.41 um  
  15.00 keV   7.914E-01  7.541E+00  166.92 um    32.65 um    26.43 um  
  16.00 keV   8.174E-01  7.648E+00  173.89 um    33.75 um    27.42 um  
  17.00 keV   8.425E-01  7.748E+00  180.75 um    34.83 um    28.40 um  
  18.00 keV   8.669E-01  7.840E+00  187.52 um    35.89 um    29.35 um  
  20.00 keV   9.138E-01  8.004E+00  200.83 um    37.97 um    31.22 um  
  22.50 keV   9.693E-01  8.180E+00  217.08 um    40.49 um    33.48 um  
  25.00 keV   1.022E+00  8.329E+00  232.97 um    42.91 um    35.67 um  
  27.50 keV   1.072E+00  8.457E+00  248.56 um    45.26 um    37.79 um  
  30.00 keV   1.119E+00  8.566E+00  263.90 um    47.55 um    39.86 um  
  32.50 keV   1.165E+00  8.661E+00  279.02 um    49.77 um    41.88 um  
  35.00 keV   1.209E+00  8.744E+00  293.95 um    51.96 um    43.87 um  
