 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Mylar.txt

 Ion = Strontium [38] , Mass = 87.9056 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    036.36    004.20
      C      6    045.45    062.50
      O      8    018.18    033.30
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.080E-01  6.135E+00     163 A        38 A        30 A
  11.00 keV   4.279E-01  6.287E+00     173 A        40 A        32 A
  12.00 keV   4.469E-01  6.424E+00     183 A        42 A        33 A
  13.00 keV   4.652E-01  6.548E+00     192 A        43 A        35 A
  14.00 keV   4.827E-01  6.661E+00     201 A        45 A        36 A
  15.00 keV   4.997E-01  6.764E+00     210 A        47 A        38 A
  16.00 keV   5.161E-01  6.859E+00     219 A        48 A        39 A
  17.00 keV   5.320E-01  6.947E+00     228 A        50 A        40 A
  18.00 keV   5.474E-01  7.028E+00     237 A        52 A        42 A
  20.00 keV   5.770E-01  7.172E+00     254 A        55 A        45 A
  22.50 keV   6.120E-01  7.326E+00     275 A        58 A        48 A
  25.00 keV   6.451E-01  7.456E+00     295 A        62 A        51 A
  27.50 keV   6.766E-01  7.567E+00     315 A        65 A        54 A
  30.00 keV   7.067E-01  7.663E+00     335 A        69 A        57 A
  32.50 keV   7.355E-01  7.745E+00     355 A        72 A        60 A
  35.00 keV   7.633E-01  7.816E+00     374 A        76 A        63 A
  37.50 keV   7.901E-01  7.877E+00     393 A        79 A        66 A
  40.00 keV   8.160E-01  7.930E+00     412 A        82 A        69 A
  45.00 keV   8.655E-01  8.017E+00     450 A        88 A        74 A
  50.00 keV   9.123E-01  8.081E+00     487 A        94 A        80 A
