 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Silicon.txt

 Ion = Strontium [38] , Mass = 87.9056 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Si     14    100.00    100.00
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.469E-01  4.448E+00     121 A        44 A        33 A
  11.00 keV   2.590E-01  4.566E+00     129 A        46 A        35 A
  12.00 keV   2.705E-01  4.672E+00     136 A        48 A        37 A
  13.00 keV   2.815E-01  4.769E+00     143 A        50 A        38 A
  14.00 keV   2.922E-01  4.858E+00     150 A        52 A        40 A
  15.00 keV   3.024E-01  4.939E+00     157 A        54 A        41 A
  16.00 keV   3.123E-01  5.014E+00     163 A        56 A        43 A
  17.00 keV   3.219E-01  5.084E+00     170 A        58 A        45 A
  18.00 keV   3.313E-01  5.149E+00     176 A        60 A        46 A
  20.00 keV   3.492E-01  5.265E+00     189 A        63 A        49 A
  22.50 keV   3.704E-01  5.391E+00     205 A        68 A        53 A
  25.00 keV   3.904E-01  5.498E+00     220 A        72 A        56 A
  27.50 keV   4.095E-01  5.591E+00     235 A        76 A        59 A
  30.00 keV   4.277E-01  5.671E+00     250 A        80 A        63 A
  32.50 keV   4.452E-01  5.742E+00     265 A        84 A        66 A
  35.00 keV   4.620E-01  5.804E+00     279 A        88 A        69 A
  37.50 keV   4.782E-01  5.858E+00     293 A        92 A        72 A
  40.00 keV   4.939E-01  5.906E+00     308 A        96 A        75 A
  45.00 keV   5.238E-01  5.987E+00     336 A       103 A        81 A
  50.00 keV   5.521E-01  6.050E+00     364 A       111 A        87 A
