 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Aluminum (gas).txt

 Ion = Strontium [38] , Mass = 88.907 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Al     13    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.225E-01  4.437E+00     104 A        36 A        27 A
  11.00 keV   3.382E-01  4.552E+00     110 A        38 A        29 A
  12.00 keV   3.532E-01  4.657E+00     117 A        40 A        30 A
  13.00 keV   3.677E-01  4.752E+00     123 A        41 A        32 A
  14.00 keV   3.815E-01  4.838E+00     128 A        43 A        33 A
  15.00 keV   3.949E-01  4.918E+00     134 A        45 A        34 A
  16.00 keV   4.079E-01  4.991E+00     140 A        46 A        36 A
  17.00 keV   4.204E-01  5.059E+00     146 A        48 A        37 A
  18.00 keV   4.326E-01  5.122E+00     151 A        49 A        38 A
  20.00 keV   4.560E-01  5.236E+00     162 A        52 A        41 A
  22.50 keV   4.837E-01  5.357E+00     176 A        56 A        44 A
  25.00 keV   5.098E-01  5.461E+00     189 A        60 A        47 A
  27.50 keV   5.347E-01  5.550E+00     202 A        63 A        49 A
  30.00 keV   5.585E-01  5.628E+00     214 A        66 A        52 A
  32.50 keV   5.813E-01  5.696E+00     227 A        70 A        55 A
  35.00 keV   6.033E-01  5.755E+00     239 A        73 A        57 A
  37.50 keV   6.244E-01  5.807E+00     252 A        76 A        60 A
  40.00 keV   6.449E-01  5.852E+00     264 A        79 A        63 A
  45.00 keV   6.840E-01  5.928E+00     288 A        85 A        67 A
  50.00 keV   7.210E-01  5.987E+00     312 A        91 A        72 A
