 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 31, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Carbon.txt

 Ion = Strontium [38] , Mass = 88.907 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      C      6    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.025E-01  5.962E+00     103 A        23 A        18 A
  11.00 keV   5.270E-01  6.107E+00     109 A        24 A        19 A
  12.00 keV   5.505E-01  6.237E+00     115 A        26 A        20 A
  13.00 keV   5.729E-01  6.355E+00     121 A        27 A        21 A
  14.00 keV   5.946E-01  6.462E+00     127 A        28 A        22 A
  15.00 keV   6.154E-01  6.560E+00     132 A        29 A        23 A
  16.00 keV   6.356E-01  6.649E+00     138 A        30 A        24 A
  17.00 keV   6.552E-01  6.732E+00     143 A        31 A        25 A
  18.00 keV   6.742E-01  6.808E+00     149 A        32 A        26 A
  20.00 keV   7.107E-01  6.944E+00     160 A        34 A        27 A
  22.50 keV   7.538E-01  7.088E+00     173 A        36 A        29 A
  25.00 keV   7.945E-01  7.210E+00     186 A        38 A        31 A
  27.50 keV   8.333E-01  7.313E+00     198 A        40 A        33 A
  30.00 keV   8.704E-01  7.401E+00     211 A        42 A        35 A
  32.50 keV   9.059E-01  7.476E+00     223 A        44 A        37 A
  35.00 keV   9.401E-01  7.541E+00     235 A        46 A        39 A
  37.50 keV   9.731E-01  7.597E+00     247 A        48 A        41 A
  40.00 keV   1.005E+00  7.645E+00     259 A        50 A        42 A
  45.00 keV   1.066E+00  7.722E+00     283 A        54 A        46 A
  50.00 keV   1.124E+00  7.778E+00     306 A        58 A        49 A
