 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Helium (gas).txt

 Ion = Strontium [38] , Mass = 88.907 amu

 Target Density =  1.3000E-04 g/cm3 = 1.9557E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     He      2    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.785E-01  7.419E+00  154.71 um    20.33 um    16.37 um
  11.00 keV   3.970E-01  7.586E+00  164.13 um    21.33 um    17.30 um
  12.00 keV   4.147E-01  7.735E+00  173.36 um    22.30 um    18.20 um
  13.00 keV   4.316E-01  7.869E+00  182.40 um    23.24 um    19.09 um
  14.00 keV   4.479E-01  7.991E+00  191.30 um    24.16 um    19.95 um
  15.00 keV   4.636E-01  8.101E+00  200.06 um    25.05 um    20.80 um
  16.00 keV   4.788E-01  8.201E+00  208.70 um    25.92 um    21.63 um
  17.00 keV   4.935E-01  8.293E+00  217.24 um    26.77 um    22.45 um
  18.00 keV   5.078E-01  8.377E+00  225.68 um    27.61 um    23.26 um
  20.00 keV   5.353E-01  8.526E+00  242.30 um    29.29 um    24.84 um
  22.50 keV   5.678E-01  8.682E+00  262.67 um    31.34 um    26.75 um
  25.00 keV   5.985E-01  8.810E+00  282.68 um    33.31 um    28.62 um
  27.50 keV   6.277E-01  8.917E+00  302.39 um    35.23 um    30.44 um
  30.00 keV   6.556E-01  9.006E+00  321.84 um    37.09 um    32.23 um
  32.50 keV   6.824E-01  9.081E+00  341.09 um    38.92 um    33.98 um
  35.00 keV   7.082E-01  9.144E+00  360.16 um    40.70 um    35.71 um
  37.50 keV   7.330E-01  9.196E+00  379.08 um    42.46 um    37.41 um
