 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Helium (gas).txt

 Ion = Strontium [38] , Mass = 88.90745 amu

 Target Density =  1.3560E-04 g/cm3 = 2.0399E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     He      2    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.785E-01  7.419E+00  148.32 um    19.49 um    15.69 um
  11.00 keV   3.970E-01  7.586E+00  157.36 um    20.45 um    16.58 um
  12.00 keV   4.147E-01  7.735E+00  166.20 um    21.38 um    17.45 um
  13.00 keV   4.316E-01  7.869E+00  174.87 um    22.28 um    18.30 um
  14.00 keV   4.479E-01  7.991E+00  183.40 um    23.16 um    19.13 um
  15.00 keV   4.636E-01  8.101E+00  191.80 um    24.01 um    19.94 um
  16.00 keV   4.788E-01  8.201E+00  200.08 um    24.85 um    20.74 um
  17.00 keV   4.935E-01  8.293E+00  208.27 um    25.67 um    21.52 um
  18.00 keV   5.078E-01  8.377E+00  216.36 um    26.47 um    22.30 um
  20.00 keV   5.353E-01  8.526E+00  232.29 um    28.08 um    23.81 um
  22.50 keV   5.678E-01  8.682E+00  251.82 um    30.04 um    25.65 um
  25.00 keV   5.985E-01  8.810E+00  271.01 um    31.94 um    27.44 um
  27.50 keV   6.277E-01  8.917E+00  289.90 um    33.77 um    29.19 um
  30.00 keV   6.556E-01  9.006E+00  308.55 um    35.56 um    30.90 um
  32.50 keV   6.824E-01  9.081E+00  327.01 um    37.31 um    32.58 um
  35.00 keV   7.082E-01  9.144E+00  345.29 um    39.02 um    34.24 um
  37.50 keV   7.330E-01  9.196E+00  363.42 um    40.70 um    35.87 um
