 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Strontium [38] , Mass = 88.907 amu

 Target Density =  1.3000E-04 g/cm3 = 1.8857E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.093E-01  7.290E+00  151.38 um    29.14 um    23.05 um
  11.00 keV   7.439E-01  7.477E+00  160.23 um    30.52 um    24.28 um
  12.00 keV   7.770E-01  7.646E+00  168.86 um    31.85 um    25.47 um
  13.00 keV   8.087E-01  7.799E+00  177.31 um    33.13 um    26.62 um
  14.00 keV   8.392E-01  7.939E+00  185.59 um    34.38 um    27.74 um
  15.00 keV   8.687E-01  8.067E+00  193.73 um    35.60 um    28.84 um
  16.00 keV   8.971E-01  8.185E+00  201.73 um    36.78 um    29.92 um
  17.00 keV   9.248E-01  8.294E+00  209.62 um    37.94 um    30.97 um
  18.00 keV   9.516E-01  8.396E+00  217.40 um    39.08 um    32.00 um
  20.00 keV   1.003E+00  8.577E+00  232.67 um    41.31 um    34.01 um
  22.50 keV   1.064E+00  8.772E+00  251.30 um    44.01 um    36.44 um
  25.00 keV   1.121E+00  8.938E+00  269.50 um    46.60 um    38.80 um
  27.50 keV   1.176E+00  9.080E+00  287.35 um    49.11 um    41.08 um
  30.00 keV   1.228E+00  9.203E+00  304.90 um    51.55 um    43.30 um
  32.50 keV   1.279E+00  9.310E+00  322.19 um    53.93 um    45.47 um
  35.00 keV   1.327E+00  9.403E+00  339.25 um    56.25 um    47.60 um
