 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  H- C (gas).txt

 Ion = Strontium [38] , Mass = 88.90745 amu

 Target Density =  1.9100E-04 g/cm3 = 2.7705E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.093E-01  7.290E+00  103.03 um    19.83 um    15.69 um
  11.00 keV   7.439E-01  7.477E+00  109.06 um    20.77 um    16.53 um
  12.00 keV   7.770E-01  7.646E+00  114.93 um    21.68 um    17.33 um
  13.00 keV   8.087E-01  7.799E+00  120.68 um    22.55 um    18.12 um
  14.00 keV   8.392E-01  7.939E+00  126.32 um    23.40 um    18.88 um
  15.00 keV   8.687E-01  8.067E+00  131.86 um    24.23 um    19.63 um
  16.00 keV   8.971E-01  8.185E+00  137.30 um    25.04 um    20.36 um
  17.00 keV   9.248E-01  8.294E+00  142.67 um    25.82 um    21.08 um
  18.00 keV   9.516E-01  8.396E+00  147.97 um    26.60 um    21.78 um
  20.00 keV   1.003E+00  8.577E+00  158.36 um    28.12 um    23.15 um
  22.50 keV   1.064E+00  8.772E+00  171.04 um    29.95 um    24.81 um
  25.00 keV   1.121E+00  8.938E+00  183.43 um    31.72 um    26.41 um
  27.50 keV   1.176E+00  9.080E+00  195.58 um    33.43 um    27.96 um
  30.00 keV   1.228E+00  9.203E+00  207.53 um    35.09 um    29.47 um
  32.50 keV   1.279E+00  9.310E+00  219.29 um    36.71 um    30.95 um
  35.00 keV   1.327E+00  9.403E+00  230.90 um    38.29 um    32.40 um
  37.50 keV   1.373E+00  9.485E+00  242.38 um    39.84 um    33.82 um
