 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  H- C- O.txt

 Ion = Strontium [38] , Mass = 88.907 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    036.36    004.20
      C      6    045.45    062.50
      O      8    018.18    033.30
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.057E-01  6.127E+00     164 A        38 A        30 A
  11.00 keV   4.255E-01  6.280E+00     174 A        40 A        31 A
  12.00 keV   4.444E-01  6.417E+00     183 A        42 A        33 A
  13.00 keV   4.626E-01  6.542E+00     193 A        43 A        35 A
  14.00 keV   4.800E-01  6.655E+00     202 A        45 A        36 A
  15.00 keV   4.969E-01  6.759E+00     211 A        47 A        38 A
  16.00 keV   5.132E-01  6.854E+00     220 A        48 A        39 A
  17.00 keV   5.290E-01  6.942E+00     229 A        50 A        40 A
  18.00 keV   5.443E-01  7.023E+00     238 A        52 A        42 A
  20.00 keV   5.737E-01  7.168E+00     255 A        55 A        44 A
  22.50 keV   6.085E-01  7.323E+00     276 A        58 A        48 A
  25.00 keV   6.415E-01  7.454E+00     296 A        62 A        51 A
  27.50 keV   6.728E-01  7.566E+00     316 A        65 A        54 A
  30.00 keV   7.027E-01  7.662E+00     336 A        69 A        57 A
  32.50 keV   7.314E-01  7.745E+00     356 A        72 A        60 A
  35.00 keV   7.590E-01  7.817E+00     375 A        75 A        63 A
  37.50 keV   7.856E-01  7.879E+00     394 A        79 A        66 A
  40.00 keV   8.114E-01  7.933E+00     413 A        82 A        69 A
  45.00 keV   8.606E-01  8.021E+00     451 A        88 A        74 A
  50.00 keV   9.072E-01  8.086E+00     488 A        94 A        79 A
