 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Silicon (gas).txt

 Ion = Strontium [38] , Mass = 88.907 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Si     14    100.00    100.00
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.961E-01  4.450E+00     121 A        43 A        33 A
  11.00 keV   3.106E-01  4.568E+00     128 A        45 A        34 A
  12.00 keV   3.244E-01  4.674E+00     135 A        47 A        36 A
  13.00 keV   3.376E-01  4.772E+00     142 A        49 A        38 A
  14.00 keV   3.503E-01  4.861E+00     149 A        51 A        39 A
  15.00 keV   3.626E-01  4.943E+00     156 A        53 A        41 A
  16.00 keV   3.745E-01  5.018E+00     162 A        55 A        42 A
  17.00 keV   3.861E-01  5.088E+00     169 A        57 A        44 A
  18.00 keV   3.973E-01  5.153E+00     175 A        59 A        45 A
  20.00 keV   4.187E-01  5.270E+00     188 A        62 A        48 A
  22.50 keV   4.441E-01  5.396E+00     203 A        67 A        52 A
  25.00 keV   4.682E-01  5.504E+00     219 A        71 A        55 A
  27.50 keV   4.910E-01  5.598E+00     233 A        75 A        59 A
  30.00 keV   5.128E-01  5.679E+00     248 A        79 A        62 A
  32.50 keV   5.338E-01  5.750E+00     263 A        83 A        65 A
  35.00 keV   5.539E-01  5.812E+00     277 A        87 A        68 A
  37.50 keV   5.734E-01  5.868E+00     291 A        91 A        71 A
  40.00 keV   5.922E-01  5.916E+00     305 A        94 A        74 A
  45.00 keV   6.281E-01  5.998E+00     333 A       102 A        80 A
  50.00 keV   6.621E-01  6.062E+00     360 A       109 A        86 A
