A	Z	Atomic Mass [micro-u]
1	0	1008664.916
1	1	1007825.032
2	1	2014101.778
3	1	3016049.281
4	1	4026431.867
5	1	5035311.492
6	1	6044955.437
7	1	7052749
3	2	3016029.322
4	2	4002603.254
5	2	5012057.224
6	2	6018885.889
7	2	7027990.652
8	2	8033934.388
9	2	9043946.414
10	2	10052815.31
3	3	3030775
4	3	4027185.561
5	3	5012537.8
6	3	6015122.887
7	3	7016003.434
8	3	8022486.244
9	3	9026790.191
10	3	10035483.45
11	3	11043723.58
12	3	12052613.94
13	3	13061171.5
5	4	5039870
6	4	6019726.409
7	4	7016928.714
8	4	8005305.102
9	4	9012183.062
10	4	10013534.69
11	4	11021661.08
12	4	12026922.08
13	4	13036134.51
14	4	14042892.92
15	4	15053490.22
16	4	16061672.04
6	5	6050800
7	5	7029712
8	5	8024607.315
9	5	9013329.645
10	5	10012936.86
11	5	11009305.17
12	5	12014352.64
13	5	13017779.98
14	5	14025404.01
15	5	15031087.02
16	5	16039841.05
17	5	17046931.4
18	5	18055601.68
19	5	19064166
20	5	20074505.64
21	5	21084147.49
8	6	8037643.039
9	6	9031037.202
10	6	10016853.22
11	6	11011432.6
12	6	12000000
13	6	13003354.84
14	6	14003241.99
15	6	15010599.26
16	6	16014701.26
17	6	17022578.65
18	6	18026751.93
19	6	19034797.59
20	6	20040261.73
21	6	21049000
22	6	22057553.99
23	6	23068890
10	7	10041653.54
11	7	11026157.59
12	7	12018613.18
13	7	13005738.61
14	7	14003074
15	7	15000108.9
16	7	16006101.93
17	7	17008448.88
18	7	18014077.56
19	7	19017022.39
20	7	20023367.3
21	7	21027087.57
22	7	22034100.92
23	7	23039421
24	7	24050390
25	7	25060100
11	8	11051249.83
12	8	12034367.73
13	8	13024815.44
14	8	14008596.71
15	8	15003065.64
16	8	15994914.62
17	8	16999131.76
18	8	17999159.61
19	8	19003577.97
20	8	20004075.36
21	8	21008654.95
22	8	22009965.74
23	8	23015696.69
24	8	24019861
25	8	25029338.92
26	8	26037210.16
27	8	27047955
28	8	28055910
13	9	13045121
14	9	14034315.2
15	9	15017785.14
16	9	16011460.28
17	9	17002095.24
18	9	18000937.32
19	9	18998403.16
20	9	19999981.25
21	9	20999948.89
22	9	22002998.81
23	9	23003526.88
24	9	24008099.37
25	9	25012167.73
26	9	26020048.07
27	9	27026981.9
28	9	28035860.45
29	9	29043103
30	9	30052561
31	9	31061023
15	10	15043172.98
16	10	16025750.86
17	10	17017713.96
18	10	18005708.7
19	10	19001880.91
20	10	19992440.18
21	10	20993846.69
22	10	21991385.11
23	10	22994466.91
24	10	23993610.65
25	10	24997814.8
26	10	26000516.5
27	10	27007569.46
28	10	28012130.77
29	10	29019753
30	10	30024992.24
31	10	31033474.82
32	10	32039720
33	10	33049523
34	10	34056728
17	11	17037273
18	11	18026879.39
19	11	19013880.26
20	11	20007354.3
21	11	20997654.46
22	11	21994437.55
23	11	22989769.28
24	11	23990963.01
25	11	24989953.97
26	11	25992634.65
27	11	26994076.41
28	11	27998939
29	11	29002877.09
30	11	30009097.93
31	11	31013146.65
32	11	32020011.02
33	11	33025529
34	11	34034010
35	11	35040614
36	11	36049279
37	11	37057042
38	11	38066458
39	11	39075123
19	12	19034179.92
20	12	20018763.08
21	12	21011705.76
22	12	21999570.6
23	12	22994123.77
24	12	23985041.69
25	12	24985836.97
26	12	25982592.97
27	12	26984340.65
28	12	27983875.43
29	12	28988607.16
30	12	29990465.45
31	12	30996648.23
32	12	31999110.14
33	12	33005327.86
34	12	34008935.46
35	12	35016790
36	12	36021879
37	12	37030286.27
38	12	38036580
39	12	39045921
40	12	40053194
41	12	41062373
21	13	21029082
22	13	22019540
23	13	23007244.35
24	13	23999947.6
25	13	24990428.31
26	13	25986891.88
27	13	26981538.41
28	13	27981910.01
29	13	28980453.16
30	13	29982969.17
31	13	30983949.75
32	13	31988084.34
33	13	32990877.69
34	13	33996781.92
35	13	34999759.82
36	13	36006388
37	13	37010531
38	13	38017681
39	13	39023070
40	13	40030940
41	13	41037134
42	13	42045078
43	13	43051820
22	14	22036114
23	14	23025711
24	14	24011535.43
25	14	25004108.8
26	14	25992333.82
27	14	26986704.69
28	14	27976926.53
